pc,smartphone,latency
0.741,1.105,0.364
2.891,3.255,0.364
5.041,5.405,0.364
7.201,7.565,0.364
9.351,9.715,0.364
11.511,11.875,0.364
13.651,14.015,0.364
15.811,16.175,0.364
17.961,18.325,0.364
20.101,20.465,0.364
22.261,22.625,0.364
24.411,24.775,0.364
26.561,26.925,0.364
28.711,29.095,0.384
30.861,31.245,0.384
33.021,33.405,0.384
35.161,35.545,0.384
37.311,37.695,0.384
39.481,39.865,0.384
41.621,42.005,0.384
43.781,44.165,0.384
45.931,46.315,0.384
48.081,48.465,0.384
50.231,50.615,0.384
52.381,52.765,0.384
54.531,54.915,0.384
56.681,57.065,0.384
58.841,59.225,0.384
60.991,61.375,0.384
63.141,63.525,0.384
