pc,smartphone,latency
2.453,3.176,0.723
5.573,6.296,0.723
8.673,9.396,0.723
17.973,18.696,0.723
21.073,21.796,0.723
24.183,24.976,0.793
27.283,28.076,0.793
30.383,30.976,0.593
33.493,34.086,0.593
36.583,37.076,0.493
39.693,40.186,0.493
42.803,43.296,0.493
45.903,46.396,0.493
49.003,49.496,0.493
52.103,52.596,0.493
55.213,55.706,0.493
58.323,59.296,0.973
1.413,2.186,0.773
4.523,5.296,0.773
7.623,8.396,0.773
10.723,11.496,0.773
13.843,14.616,0.773
16.933,17.706,0.773
20.043,20.816,0.773
23.153,23.926,0.773
26.253,27.026,0.773
29.353,30.026,0.673
32.443,33.116,0.673
35.553,36.226,0.673
38.653,39.326,0.673
