pc,smartphone,latency
1.192,1.317,0.125
4.122,4.247,0.125
7.052,7.177,0.125
9.972,10.097,0.125
12.902,13.027,0.125
15.832,15.957,0.125
18.762,18.887,0.125
21.692,21.817,0.125
24.622,24.746,0.124
27.552,27.676,0.124
30.472,30.596,0.124
33.402,33.526,0.124
36.332,36.456,0.124
39.262,39.386,0.124
42.182,42.306,0.124
45.112,45.236,0.124
48.032,48.156,0.124
50.962,51.086,0.124
53.892,54.016,0.124
56.812,56.936,0.124
59.742,59.866,0.124
62.672,62.796,0.124
65.602,65.726,0.124
68.532,68.656,0.124
71.462,71.769,0.307
74.392,74.544,0.152
77.322,77.496,0.174
80.252,80.412,0.16
83.192,83.345,0.153
86.112,86.275,0.163
,Mittelwert:,0.1364333333
