pc,smartphone,latency
0.922,1.338,0.416
3.842,4.278,0.436
6.762,7.196,0.434
9.682,10.115,0.433
12.602,13.035,0.433
15.522,15.955,0.433
18.452,18.885,0.433
21.372,21.804,0.432
24.292,24.724,0.432
27.212,27.645,0.433
30.122,30.555,0.433
33.042,33.474,0.432
35.962,36.394,0.432
38.882,39.314,0.432
41.812,42.244,0.432
44.732,45.164,0.432
47.652,48.085,0.433
50.572,51.005,0.433
53.492,53.924,0.432
56.412,56.844,0.432
59.342,59.734,0.392
62.262,62.654,0.392
65.182,65.574,0.392
68.102,68.494,0.392
71.022,71.414,0.392
73.942,74.334,0.392
76.862,77.254,0.392
79.782,80.174,0.392
82.712,83.065,0.353
85.632,85.984,0.352
,Mittelwert:,0.4159666667
