pc;smartphone;latency;
1.684;2.238;0.554;
4.613;5.155;0.542;
7.533;8.072;0.539;
10.464;11.011;0.547;
13.394;13.961;0.567;
16.324;16.889;0.565;
19.244;19.784;0.54;
22.183;22.744;0.561;
25.103;;-25.103;Messung ungültig
28.034;28.507;0.473;
30.953;31.434;0.481;
33.884;34.417;0.533;
36.814;37.344;0.53;
39.744;40.251;0.507;
42.663;43.135;0.472;
45.594;46.074;0.48;
48.524;49.067;0.543;
51.454;;-51.454;Messung ungültig
54.373;54.901;0.528;
57.303;57.84;0.537;
60.224;60.778;0.554;
63.154;63.674;0.52;
66.084;66.569;0.485;
69.013;69.54;0.527;
71.934;72.481;0.547;
74.864;75.43;0.566;
77.793;78.271;0.478;
80.732;81.221;0.489;
83.644;84.171;0.527;
86.574;87.099;0.525;
89.504;90.092;0.588;
92.424;92.911;0.487;
;Mittelwert:;0.5264;
