pc,smartphone,latency
0.935,1.314,0.379
3.865,4.234,0.369
6.795,7.134,0.339
9.715,10.073,0.358
12.645,12.971,0.326
15.575,15.974,0.399
18.495,18.834,0.339
21.425,21.794,0.369
24.355,24.813,0.458
27.275,27.613,0.338
30.205,30.674,0.469
33.135,33.513,0.378
36.065,36.454,0.389
38.985,39.314,0.329
41.915,42.293,0.378
44.835,45.213,0.378
47.765,48.094,0.329
50.685,51.033,0.348
53.615,53.973,0.358
56.535,56.913,0.378
59.465,59.853,0.388
62.395,62.793,0.398
65.325,65.753,0.428
68.245,68.593,0.348
71.165,71.613,0.448
74.095,74.453,0.358
77.025,77.353,0.328
79.955,80.331,0.376
82.885,83.213,0.328
85.805,86.153,0.348
,Mittelwert:,0.3718666667
