pc ,smartphone,latency
2.809,2.887,0.078
4.999,5.070,0.071
7.189,7.489,0.300
9.389,9.506,0.117
11.569,11.679,0.110
13.759,13.869,0.110
15.939,16.042,0.103
18.129,18.225,0.096
20.329,20.425,0.096
22.519,22.608,0.089
24.709,24.798,0.089
26.899,26.981,0.082
29.089,29.165,0.076
31.279,31.355,0.076
33.469,33.538,0.069
35.649,35.718,0.069
37.859,37.928,0.069
40.059,40.128,0.069
42.259,42.328,0.069
44.449,44.518,0.069
46.609,46.678,0.069
48.799,48.892,0.093
50.989,51.082,0.093
53.179,53.265,0.086
55.349,55.428,0.079
57.539,57.618,0.079
59.719,59.791,0.072
61.909,61.981,0.072
64.099,64.171,0.072
66.289,66.361,0.072
68.479,68.551,0.072
