pc ,smartphone,latency
1.894,2.429,0.535
4.064,4.747,0.683
6.264,6.826,0.562
8.444,9.144,0.700
10.624,11.169,0.545
12.794,13.498,0.704
14.984,15.620,0.636
17.174,17.743,0.569
19.354,20.007,0.653
21.554,22.064,0.510
23.734,24.371,0.637
25.924,26.439,0.515
28.084,28.747,0.663
30.284,30.869,0.585
32.474,33.188,0.714
34.654,35.266,0.612
36.834,37.389,0.555
39.024,39.704,0.680
41.204,41.558,0.354
45.554,45.863,0.309
47.754,48.182,0.428
49.944,50.468,0.524
52.124,52.775,0.651
54.304,55.019,0.715
56.474,57.098,0.624
58.664,59.188,0.524
60.834,61.484,0.650
63.034,63.596,0.562
65.234,65.729,0.495
67.414,68.080,0.666
